Stock,RS_Rating,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 week High
SSD,89,140.61,120.18,112.37,75.87334442138672,163.4199981689453
AMWD,92,72.22,59.57,57.38,41.810001373291016,77.16000366210938
NCR,86,25.78,24.71,24.12,18.639999389648438,34.869998931884766
GFF,87,39.33,34.61,33.92,25.874027252197266,43.150001525878906
NVMI,93,115.49,101.43,96.75,69.5,126.37000274658203
HLT,87,146.44,143.25,140.83,117.10179138183594,155.49000549316406
APPF,95,172.63,141.77,134.36,94.02999877929688,193.9199981689453
EHC,83,66.05,61.57,60.1,44.888458251953125,71.66999816894531
UFPI,88,94.68,87.02,84.44,66.70089721679688,103.91000366210938
SHW,85,258.47,238.25,237.73,199.64219665527344,280.8999938964844
RETA,98,112.67,86.09,73.63,19.31999969482422,167.19000244140625
Z,92,50.56,45.92,43.01,26.969999313354492,56.779998779296875
SAIA,89,354.69,298.92,279.85,183.5399932861328,429.05999755859375
DOOR,94,100.74,93.02,88.39,66.16000366210938,105.76000213623047
COO,86,377.57,364.66,349.78,248.62889099121094,397.3291320800781
ZG,93,49.53,44.99,42.18,27.020000457763672,55.310001373291016
AEIS,92,111.28,98.67,95.52,70.50144958496094,126.02999877929688
ROST,77,109.23,108.91,108.17,78.83153533935547,120.78605651855469
HLNE,92,81.06,74.82,72.87,56.33271408081055,92.9800033569336
GMRE,93,9.43,9.35,9.21,6.675745010375977,11.165754318237305
FSV,71,151.44,143.99,138.9,113.89244079589844,159.9600067138672
GMS,88,69.91,61.6,58.56,38.52000045776367,76.0999984741211
MTH,81,137.34,121.23,111.74,65.9635238647461,150.49000549316406
CW,85,183.06,173.67,172.81,136.4008026123047,207.8000030517578
PHM,91,77.51,64.5,59.05,36.2764892578125,86.01000213623047
COOP,90,51.99,46.67,45.5,38.43000030517578,59.47999954223633
AGRO,78,9.91,8.7,8.5,7.052444934844971,11.100000381469727
FND,83,103.45,95.84,90.23,64.72000122070312,115.05999755859375
IDXX,78,503.61,488.29,467.02,324.6400146484375,556.6699829101562
MDC,86,45.98,40.23,37.72,26.016056060791016,51.5099983215332
ESI,80,19.41,19.15,18.92,15.850464820861816,21.600566864013672
NRC,94,43.85,43.81,42.34,33.09291076660156,46.91349411010742
KMX,85,81.5,72.54,70.53,55.689998626708984,104.22000122070312
DECK,78,524.24,468.23,443.55,287.3999938964844,565.5499877929688
ACGL,88,74.83,70.65,67.57,41.66999816894531,82.2699966430664
TMHC,81,47.81,40.93,37.86,22.809999465942383,51.63999938964844
VICR,95,62.58,55.2,54.43,40.849998474121094,95.13999938964844
NXPI,93,203.59,183.77,177.68,135.89234924316406,223.66000366210938
WWD,83,117.77,106.44,103.34,79.76763153076172,131.8699951171875
MSA,90,163.77,144.16,141.71,108.19526672363281,182.1999969482422
CIR,91,51.24,35.69,32.69,13.479999542236328,56.45000076293945
ARNC,88,29.48,26.78,25.39,17.0,30.420000076293945
TRNS,89,87.45,85.43,83.19,62.209999084472656,94.98999786376953
RDN,71,26.04,23.42,22.3,17.852121353149414,28.09000015258789
TJX,73,82.77,79.45,78.45,59.35654830932617,87.0837631225586
GPI,87,251.57,227.92,216.04,140.7535400390625,271.1199951171875
JPM,81,146.69,138.86,136.3,99.73927307128906,158.0
SEIC,80,60.28,59.29,58.85,46.67351150512695,64.08000183105469
WAB,73,107.8,102.86,101.63,80.34679412841797,119.19000244140625
TTEK,86,163.11,149.64,149.23,122.65191650390625,172.2899932861328
DKS,86,134.86,134.33,128.62,91.246337890625,148.24371337890625
AMP,84,331.43,320.25,318.03,247.88795471191406,355.5331115722656
BDX,75,261.56,251.81,248.02,215.86111450195312,283.5899963378906
TNK,98,38.96,37.78,36.2,20.140962600708008,46.12367630004883
SUM,87,35.82,31.76,30.94,23.294002532958984,39.52000045776367
MGM,75,44.98,43.17,41.21,29.71755027770996,50.900001525878906
ALGN,73,338.28,315.93,286.21,174.5800018310547,385.30999755859375
BCC,90,90.63,74.47,72.46,52.163021087646484,111.77999877929688
NVR,86,6133.24,5641.95,5350.17,3917.75,6466.0
WDC,92,39.68,38.26,37.41,30.209999084472656,50.66999816894531
MU,92,66.51,62.21,60.33,48.476966857910156,73.79115295410156
PCYO,86,11.28,10.0,9.93,7.809999942779541,13.010000228881836
WH,73,72.02,71.2,71.17,58.36751174926758,80.0606460571289
GES,87,20.13,20.0,19.65,13.880231857299805,23.09424591064453
LAD,81,290.23,253.24,243.39,182.01177978515625,325.260009765625
MELI,92,1212.43,1201.86,1125.84,756.8800048828125,1358.81005859375
FTDR,78,33.03,29.28,27.54,19.549999237060547,37.0
PRO,91,32.23,28.43,27.37,18.520000457763672,38.400001525878906
TNC,89,79.94,72.93,70.04,55.913726806640625,86.95999908447266
BHC,88,8.32,7.94,7.71,4.579999923706055,9.850000381469727
IR,81,64.35,59.21,57.52,42.885379791259766,68.62000274658203
ODFL,89,363.55,340.96,327.71,243.53076171875,427.5899963378906
TBBK,89,35.6,32.36,31.46,21.979999542236328,40.59000015258789
ROKU,97,71.84,62.96,60.05,38.79999923706055,97.48999786376953
PESI,98,10.55,8.76,7.52,3.3299999237060547,12.279999732971191
CNQ,80,56.79,56.43,56.34,43.17396926879883,61.310001373291016
STN,90,64.64,58.88,56.27,42.780517578125,68.73999786376953
HLI,77,97.22,93.33,92.84,73.77436828613281,108.2699966430664
ITT,86,92.43,87.79,85.63,64.70703887939453,102.19999694824219
COF,82,111.05,103.43,101.81,84.59040832519531,119.96566009521484
BRBR,94,36.05,33.3,31.18,20.399999618530273,37.900001525878906
GNTX,84,29.87,28.43,28.07,23.42559051513672,34.16999816894531
AKBA,98,1.21,0.95,0.79,0.25,1.840000033378601
FRG,99,29.23,28.6,27.64,22.01714324951172,34.74273681640625
ONTO,82,111.77,93.01,88.22,59.040000915527344,124.31999969482422
ITW,82,245.29,235.57,230.72,177.6508026123047,263.32000732421875
STE,77,218.97,201.69,195.46,159.49700927734375,233.02000427246094
LAKE,81,14.11,13.81,13.57,10.890000343322754,15.965219497680664
KKR,84,57.31,54.06,52.86,42.61402893066406,61.810001373291016
CLH,86,161.6,143.63,136.97,96.43000030517578,174.2899932861328
HOV,98,98.65,77.54,68.99,33.560001373291016,109.19000244140625
EGP,78,174.51,166.03,161.85,134.92315673828125,186.0399932861328
WTS,82,179.94,169.26,163.91,121.76519775390625,191.99000549316406
PATK,85,79.75,72.15,67.51,42.236454010009766,86.55000305175781
BC,84,84.51,82.55,79.67,64.48186492919922,91.50544738769531
PLAB,94,24.63,19.47,18.99,14.180000305175781,26.950000762939453
CCS,75,73.2,65.38,60.97,41.05777359008789,78.5999984741211
CHTR,92,368.13,364.1,362.92,303.3500061035156,482.8299865722656
CACI,93,335.79,310.92,308.31,248.66000366210938,357.9200134277344
KAI,88,212.83,203.64,197.9,157.04661560058594,225.37179565429688
STX,90,61.93,61.67,59.06,46.77012252807617,79.5625991821289
OC,84,128.16,107.71,102.59,73.61656951904297,142.85000610351562
IDN,99,2.56,2.46,2.38,1.9500000476837158,3.359999895095825
VRRM,87,19.63,17.48,16.84,13.020000457763672,21.06999969482422
WST,86,368.18,334.63,309.2,208.8011932373047,400.1499938964844
ROP,77,473.05,449.48,442.6,357.41778564453125,499.3800048828125
NAT,97,3.8,3.53,3.41,2.170139789581299,4.429999828338623
CSWI,90,165.18,145.35,138.73,112.65800476074219,187.0
PNR,80,63.77,57.23,53.83,38.54909133911133,71.72000122070312
FSLY,71,17.23,14.75,13.28,7.440000057220459,20.979999542236328
PTC,71,141.63,132.3,129.89,104.23999786376953,146.77999877929688
ON,89,95.26,83.24,79.35,57.77000045776367,108.08999633789062
ESE,88,99.37,95.52,93.76,73.17320251464844,105.36000061035156
ORN,92,2.95,2.77,2.68,2.180000066757202,3.7699999809265137
RCL,78,98.73,77.91,72.1,35.790000915527344,109.68000030517578
ITGR,83,86.22,79.39,76.52,51.11000061035156,93.23999786376953
CCK,87,87.23,84.22,82.71,66.01333618164062,100.63176727294922
ACEL,81,10.56,9.55,9.31,7.349999904632568,12.109999656677246
CODI,93,21.44,20.19,19.7,15.850981712341309,23.791414260864258
AIR,80,57.03,53.98,51.7,34.970001220703125,60.84000015258789
SCCO,78,74.68,72.94,68.45,40.810752868652344,86.39979553222656
